slug,inferred_name,best_cricos_match,match_score,note
master-of-biostatistics,master of biostatistics,Master of Education,0.33,
graduate-diploma-in-clinical-dentistry-conscious-sedation-and-pain-control,graduate diploma in clinical dentistry conscious sedation and pain control,Graduate Diploma in Clinical Dentistry (Surgical Dentistry),0.44,
graduate-certificate-in-advanced-clinical-skills-surgical-anatomy,graduate certificate in advanced clinical skills surgical anatomy,Graduate Certificate in Clinical Dentistry (Advanced Restorative),0.44,
graduate-certificate-in-medicine-pharmaceutical-and-medical-device-development,graduate certificate in medicine pharmaceutical and medical device development,Graduate Certificate in Medicine,0.43,
graduate-diploma-in-medicine-pharmaceutical-and-medical-device-development,graduate diploma in medicine pharmaceutical and medical device development,Graduate Diploma in Medicine,0.43,
master-of-medicine-advanced-pharmaceutical-and-medical-device-development,master of medicine advanced pharmaceutical and medical device development,Master of Medicine (Advanced),0.43,
master-of-medicine-critical-care-medicine,master of medicine critical care medicine,Master of Medicine (Advanced),0.4,
master-of-medicine-pharmaceutical-and-medical-device-development,master of medicine pharmaceutical and medical device development,Master of Medical Physics,0.29,
master-of-science-in-medicine-pharmaceutical-and-medical-device-development,master of science in medicine pharmaceutical and medical device development,Master of Science in Medicine,0.43,
master-of-medicine-trauma-informed-psychotherapy,master of medicine trauma informed psychotherapy,Master of Medicine (Advanced),0.33,
graduate-diploma-in-advanced-surgery-breast-surgery,graduate diploma in advanced surgery breast surgery,Graduate Diploma in Advanced Nursing Practice,0.43,
master-of-advanced-surgery-breast-surgery,master of advanced surgery breast surgery,Master of Medicine (Advanced),0.4,
master-of-medicine-genomics-and-precision-medicine,master of medicine genomics and precision medicine,Master of Medicine (Advanced),0.4,
doctor-of-medicine0,doctor of medicine0,Doctor of Education,0.33,
master-of-surgery,master of surgery,Master of Education,0.33,
graduate-certificate-in-advanced-surgery-breast-surgery,graduate certificate in advanced surgery breast surgery,Graduate Certificate in Clinical Dentistry (Advanced Restorative),0.38,
master-of-commerce0,master of commerce0,Master of Education,0.33,
master-of-engineering-sustainability-and-environmental-engineering0,master of engineering sustainability and environmental engineering0,Master of Sustainability,0.4,
master-of-engineering-chemical-and-biomolecular-engineering0,master of engineering chemical and biomolecular engineering0,Master of Engineering,0.4,
master-of-pharmacy0,master of pharmacy0,Master of Education,0.33,
master-of-business-administration-technology-and-digital-strategy,master of business administration technology and digital strategy,Master of Business Administration (Leadership and Enterprise),0.38,
graduate-diploma-in-business-administration-technology-and-digital-strategy,graduate diploma in business administration technology and digital strategy,Graduate Diploma in Information Technology,0.38,
sydney-professional-certificate-in-oncoplastic-breast-surgery0,sydney professional certificate in oncoplastic breast surgery0,Graduate Certificate in Professional Accounting,0.25,professional certificate (likely domestic/CPD)
sydney-professional-certificate-in-retrieval-medicine0,sydney professional certificate in retrieval medicine0,Graduate Certificate in Professional Accounting,0.29,professional certificate (likely domestic/CPD)
sydney-professional-certificate-in-neurological-electrodiagnosis0,sydney professional certificate in neurological electrodiagnosis0,Graduate Certificate in Professional Accounting,0.29,professional certificate (likely domestic/CPD)
sydney-professional-certificate-in-metabolic-management0,sydney professional certificate in metabolic management0,Graduate Certificate in Professional Accounting,0.29,professional certificate (likely domestic/CPD)
sydney-professional-certificate-in-metabolic-health0,sydney professional certificate in metabolic health0,Graduate Certificate in Professional Accounting,0.29,professional certificate (likely domestic/CPD)
sydney-professional-certificate-in-leadership-in-health0,sydney professional certificate in leadership in health0,Graduate Certificate in Professional Accounting,0.29,professional certificate (likely domestic/CPD)
sydney-professional-certificate-in-qualitative-health-research0,sydney professional certificate in qualitative health research0,Graduate  Certificate in Health Communication,0.25,professional certificate (likely domestic/CPD)
sydney-professional-certificate-in-psychology-of-pain0,sydney professional certificate in psychology of pain0,Graduate Certificate in Professional Accounting,0.29,professional certificate (likely domestic/CPD)
sydney-professional-certificate-in-orofacial-pain-science0,sydney professional certificate in orofacial pain science0,Graduate Certificate in Professional Accounting,0.25,professional certificate (likely domestic/CPD)
sydney-professional-certificate-in-biostatistics-in-health0,sydney professional certificate in biostatistics in health0,Graduate Certificate in Professional Accounting,0.29,professional certificate (likely domestic/CPD)
sydney-professional-certificate-in-diagnostic-electroencephalography-eeg0,sydney professional certificate in diagnostic electroencephalography eeg0,Graduate Certificate in Professional Accounting,0.25,professional certificate (likely domestic/CPD)
sydney-professional-certificate-in-diabetes-management0,sydney professional certificate in diabetes management0,Graduate Certificate in Professional Accounting,0.29,professional certificate (likely domestic/CPD)
sydney-professional-certificate-in-foundations-in-higher-education0,sydney professional certificate in foundations in higher education0,Graduate Certificate in Professional Accounting,0.25,professional certificate (likely domestic/CPD)
sydney-professional-certificate-in-intensive-care-medicine0,sydney professional certificate in intensive care medicine0,Master of Intensive Care Nursing,0.25,professional certificate (likely domestic/CPD)
sydney-professional-certificate-in-intraoperative-neuromonitoring0,sydney professional certificate in intraoperative neuromonitoring0,Graduate Certificate in Professional Accounting,0.29,professional certificate (likely domestic/CPD)
master-of-education0,master of education0,Master of Education,0.33,
master-of-education-leadership-in-aboriginal-education0,master of education leadership in aboriginal education0,Master of Education,0.4,
master-of-sustainability0,master of sustainability0,Master of Education,0.33,
bachelor-of-commerce0,bachelor of commerce0,Bachelor of Laws,0.33,
bachelor-of-nursing-post-registration-singapore,bachelor of nursing post registration singapore,Bachelor of Nursing (Honours),0.33,
diploma-of-arts0,diploma of arts0,Diploma of Music,0.33,
diploma-of-language-studies0,diploma of language studies0,Diploma of Music,0.25,
bachelor-of-arts-dual-degree-sciences-po-france0,bachelor of arts dual degree sciences po france0,Bachelor of Liberal Arts and Sciences,0.38,
