slug,inferred_name,url
master-of-professional-engineering-accelerated-biomedical,master of professional engineering accelerated biomedical,https://www.sydney.edu.au/courses/courses/pc/master-of-professional-engineering-accelerated-biomedical.html
master-of-administrative-law-and-policy,master of administrative law and policy,https://www.sydney.edu.au/courses/courses/pc/master-of-administrative-law-and-policy.html
master-of-architecture,master of architecture,https://www.sydney.edu.au/courses/courses/pc/master-of-architecture.html
master-of-biostatistics,master of biostatistics,https://www.sydney.edu.au/courses/courses/pc/master-of-biostatistics.html
master-of-brain-and-mind-sciences,master of brain and mind sciences,https://www.sydney.edu.au/courses/courses/pc/master-of-brain-and-mind-sciences.html
master-of-business-law,master of business law,https://www.sydney.edu.au/courses/courses/pc/master-of-business-law.html
master-of-criminology,master of criminology,https://www.sydney.edu.au/courses/courses/pc/master-of-criminology.html
master-of-diagnostic-radiography,master of diagnostic radiography,https://www.sydney.edu.au/courses/courses/pc/master-of-diagnostic-radiography.html
master-of-urban-and-regional-planning,master of urban and regional planning,https://www.sydney.edu.au/courses/courses/pc/master-of-urban-and-regional-planning.html
graduate-certificate-in-biostatistics,graduate certificate in biostatistics,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-biostatistics.html
graduate-certificate-in-brain-and-mind-sciences,graduate certificate in brain and mind sciences,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-brain-and-mind-sciences.html
graduate-certificate-in-clinical-epidemiology,graduate certificate in clinical epidemiology,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-clinical-epidemiology.html
graduate-certificate-in-creative-writing,graduate certificate in creative writing,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-creative-writing.html
graduate-certificate-in-cultural-studies,graduate certificate in cultural studies,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-cultural-studies.html
graduate-certificate-in-digital-communication-and-culture,graduate certificate in digital communication and culture,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-digital-communication-and-culture.html
graduate-certificate-in-engineering,graduate certificate in engineering,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-engineering.html
graduate-certificate-in-human-resource-management-and-industrial-relations,graduate certificate in human resource management and industrial relations,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-human-resource-management-and-industrial-relations.html
graduate-certificate-in-human-and-community-services,graduate certificate in human and community services,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-human-and-community-services.html
graduate-certificate-in-interaction-design-and-electronic-arts,graduate certificate in interaction design and electronic arts,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-interaction-design-and-electronic-arts.html
graduate-certificate-in-media-practice,graduate certificate in media practice,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-media-practice.html
graduate-certificate-in-pain-management,graduate certificate in pain management,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-pain-management.html
graduate-certificate-in-pharmacy-practice,graduate certificate in pharmacy practice,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-pharmacy-practice.html
graduate-certificate-in-political-economy,graduate certificate in political economy,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-political-economy.html
graduate-certificate-in-project-management,graduate certificate in project management,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-project-management.html
graduate-certificate-in-coaching-psychology,graduate certificate in coaching psychology,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-coaching-psychology.html
graduate-certificate-in-publishing,graduate certificate in publishing,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-publishing.html
graduate-certificate-in-public-policy,graduate certificate in public policy,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-public-policy.html
master-of-environmental-law,master of environmental law,https://www.sydney.edu.au/courses/courses/pc/master-of-environmental-law.html
executive-master-of-business-administration,executive master of business administration,https://www.sydney.edu.au/courses/courses/pc/executive-master-of-business-administration.html
graduate-certificate-in-urban-design,graduate certificate in urban design,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-urban-design.html
graduate-certificate-in-urban-and-regional-planning,graduate certificate in urban and regional planning,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-urban-and-regional-planning.html
graduate-diploma-in-biostatistics,graduate diploma in biostatistics,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-biostatistics.html
graduate-diploma-in-brain-and-mind-sciences,graduate diploma in brain and mind sciences,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-brain-and-mind-sciences.html
master-of-health-law,master of health law,https://www.sydney.edu.au/courses/courses/pc/master-of-health-law.html
master-of-human-resource-management-and-industrial-relations,master of human resource management and industrial relations,https://www.sydney.edu.au/courses/courses/pc/master-of-human-resource-management-and-industrial-relations.html
master-of-international-law,master of international law,https://www.sydney.edu.au/courses/courses/pc/master-of-international-law.html
master-of-international-ophthalmology,master of international ophthalmology,https://www.sydney.edu.au/courses/courses/pc/master-of-international-ophthalmology.html
juris-doctor,juris doctor,https://www.sydney.edu.au/courses/courses/pc/juris-doctor.html
master-of-laws,master of laws,https://www.sydney.edu.au/courses/courses/pc/master-of-laws.html
master-of-labour-law-and-relations,master of labour law and relations,https://www.sydney.edu.au/courses/courses/pc/master-of-labour-law-and-relations.html
graduate-certificate-in-strategic-public-relations,graduate certificate in strategic public relations,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-strategic-public-relations.html
graduate-diploma-in-clinical-dentistry-conscious-sedation-and-pain-control,graduate diploma in clinical dentistry conscious sedation and pain control,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-clinical-dentistry-conscious-sedation-and-pain-control.html
graduate-diploma-in-clinical-dentistry-oral-implants,graduate diploma in clinical dentistry oral implants,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-clinical-dentistry-oral-implants.html
graduate-diploma-in-clinical-epidemiology,graduate diploma in clinical epidemiology,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-clinical-epidemiology.html
graduate-diploma-in-criminology,graduate diploma in criminology,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-criminology.html
graduate-diploma-in-economics,graduate diploma in economics,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-economics.html
graduate-diploma-in-interaction-design-and-electronic-arts,graduate diploma in interaction design and electronic arts,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-interaction-design-and-electronic-arts.html
master-of-interaction-design-and-electronic-arts,master of interaction design and electronic arts,https://www.sydney.edu.au/courses/courses/pc/master-of-interaction-design-and-electronic-arts.html
master-of-indigenous-languages-education,master of indigenous languages education,https://www.sydney.edu.au/courses/courses/pc/master-of-indigenous-languages-education.html
master-of-management-cems,master of management cems,https://www.sydney.edu.au/courses/courses/pc/master-of-management-cems.html
master-of-management,master of management,https://www.sydney.edu.au/courses/courses/pc/master-of-management.html
master-of-medicine-clinical-epidemiology,master of medicine clinical epidemiology,https://www.sydney.edu.au/courses/courses/pc/master-of-medicine-clinical-epidemiology.html
master-of-medical-physics,master of medical physics,https://www.sydney.edu.au/courses/courses/pc/master-of-medical-physics.html
master-of-medicine-ophthalmic-science,master of medicine ophthalmic science,https://www.sydney.edu.au/courses/courses/pc/master-of-medicine-ophthalmic-science.html
master-of-medicine-pain-management,master of medicine pain management,https://www.sydney.edu.au/courses/courses/pc/master-of-medicine-pain-management.html
master-of-music-studies-performance,master of music studies performance,https://www.sydney.edu.au/courses/courses/pc/master-of-music-studies-performance.html
